,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
0,F3020455,NGOZI GIRLS SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,58,3,19.333333333333332,KWALE,MSAMBWENI,VANGA,JEGO,MSAMBWENI,COAST,"(-4.64303800000, 39.18479600000)",-4.643038,39.184796,Kwale
1,F3020478,LUNGA LUNGA MIXED DAY SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,331,13,25.46153846153846,KWALE,MSAMBWENI,LUNGA LUNGA,SEGA,MSAMBWENI,COAST,"(-4.54284500000, 39.11903600000)",-4.542845,39.119036,Kwale
2,F3020336,RAMISI MIXED SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,385,15,25.666666666666668,KWALE,MSAMBWENI,KIGWENDE SHIRAZI,SHIRAZI,MSAMBWENI,COAST,"(-4.52158100000, 39.39792600000)",-4.521581,39.397926,Kwale
3,F3020318,KINGWEDE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,126,6,21.0,KWALE,MSAMBWENI,KINGWEDE/SHIRAZ,KIGWEDE,MSAMBWENI,COAST,"(-4.48936000000, 39.45773000000)",-4.48936,39.45773,Kwale
4,F3020283,MSAMBWENI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,553,23,24.043478260869566,KWALE,MSAMBWENI,MSAMBWENI,VINGUJINI,MSAMBWENI,COAST,"(-4.47627200000, 39.47484000000)",-4.476272,39.47484,Kwale
5,F3020426,KIKONENI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,234,11,21.272727272727273,KWALE,MSAMBWENI,KIKONENI,BUMBANI,MSAMBWENI,COAST,"(-4.46605300000, 39.31916500000)",-4.466053,39.319165,Kwale
6,F3020387,FRANZ JOSEF SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,668,22,30.363636363636363,KWALE,MSAMBWENI,DZOMBO,MRIMA/MALAMBA,MSAMBWENI,COAST,"(-4.45508100000, 39.24241600000)",-4.455081,39.242416,Kwale
7,F3020412,MWANANYAMALA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,138,10,13.8,KWALE,MSAMBWENI,DZOMBO,MRIMA/MALAMBA,MSAMBWENI,COAST,"(-4.43227890000, 39.26153000000)",-4.4322789,39.26153,Kwale
8,F3020515,MWERENI MIXED DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,154,7,22.0,KWALE,MSAMBWENI,MWERENI,MWENA,MSAMBWENI,COAST,"(-4.42603900000, 39.13284600000)",-4.426039,39.132846,Kwale
9,F3020308,MAVUMONI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,346,13,26.615384615384617,KWALE,MSAMBWENI,MIVUMONI,MIVUMONI,MSAMBWENI,COAST,"(-4.42005400000, 39.40333600000)",-4.420054,39.403336,Kwale
10,F3020184,KINONDO MIXED DAY SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,156,9,17.333333333333332,KWALE,MSAMBWENI,KINONDO,KINONDO,MSAMBWENI,COAST,"(-4.37345500000, 39.52734200000)",-4.373455,39.527342,Kwale
12,F3020668,SHIMBA HILLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,640,22,29.09090909090909,KWALE,KUBO,MAJIMBONI,SHIMBA HILLS,MATUGA,COAST,"(-4.36059000000, 39.41424000000)",-4.36059,39.41424,Kwale
13,F3020691,LUKORE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,285,16,17.8125,KWALE,KUBO,LUKORE,LUKORE,MATUGA,COAST,"(-4.35181000000, 39.31426000000)",-4.35181,39.31426,Kwale
